title,pillar,class_type,class_related,location,duration,start,end,assigned_professors,description,makeup
Introduction to Probability and Statistics,ISTD,CBL2,CI2,,2,,,"Subhajit Datta,Alexander Binder,Tony Quek",,
Introduction to Probability and Statistics,ISTD,CBL3,CI3,,2,,,"Subhajit Datta,Alexander Binder,Tony Quek",,
Introduction to Probability and Statistics,ISTD,LEC1,"CI1,CI2,CI3",,1.5,,,"Subhajit Datta,Alexander Binder,Tony Quek",,
Introduction to Probability and Statistics,ISTD,LEC2,"CI1,CI2,CI3",,1.5,,,"Subhajit Datta,Alexander Binder,Tony Quek",,
Elements of Software Construction,ISTD,CBL1,CI1,,1.5,,,"Sun Jun,Sudipta",,
Elements of Software Construction,ISTD,CBL2,CI2,,1.5,,,"Sun Jun,Sudipta",,
Elements of Software Construction,ISTD,CBL3,CI3,,1.5,,,"Sun Jun,Sudipta",,
Elements of Software Construction,ISTD,CBL4,CI1,,1.5,,,"Sun Jun,Sudipta",,
Elements of Software Construction,ISTD,CBL5,CI2,,1.5,,,"Sun Jun,Sudipta",,
Elements of Software Construction,ISTD,CBL6,CI3,,1.5,,,"Sun Jun,Sudipta",,
Elements of Software Construction,ISTD,CBL7,CI1,,2,,,"Sun Jun,Sudipta",,
Elements of Software Construction,ISTD,CBL8,CI2,,2,,,"Sun Jun,Sudipta",,
Elements of Software Construction,ISTD,CBL9,CI3,,2,,,"Sun Jun,Sudipta",,
Computer System Engineering,ISTD,CBL1,CI1,,1.5,,,"David Yau,Jit Biswas",,
Computer System Engineering,ISTD,CBL2,CI2,,1.5,,,"David Yau,Jit Biswas",,
Computer System Engineering,ISTD,CBL3,CI3,,1.5,,,"David Yau,Jit Biswas",,
Computer System Engineering,ISTD,CBL4,CI1,,1.5,,,"David Yau,Jit Biswas",,
Computer System Engineering,ISTD,CBL5,CI2,,1.5,,,"David Yau,Jit Biswas",,
Computer System Engineering,ISTD,CBL6,CI3,,1.5,,,"David Yau,Jit Biswas",,
Computer System Engineering,ISTD,LAB1,"CI1,CI2,CI3",,2,,,"David Yau,Jit Biswas",,
User Interface Design and Implementation,ISTD,CBL1,CI1,,1.5,,,Hyowon Lee,,
User Interface Design and Implementation,ISTD,CBL2,CI1,,1.5,,,Hyowon Lee,,
User Interface Design and Implementation,ISTD,CBL3,CI1,,2,,,Hyowon Lee,,
Graphics & Visualisation,ISTD,CBL1,CI1,,1.5,,,Yeung Sai-Kit,,
Graphics & Visualisation,ISTD,CBL2,CI1,,1.5,,,Yeung Sai-Kit,,
Graphics & Visualisation,ISTD,CBL3,CI1,,2,,,Yeung Sai-Kit,,
Security,ISTD,CBL1,CI1,,1.5,,,"Nils Ole Tippenhauer, Martin Ochoa",,
Security,ISTD,CBL2,CI2,,1.5,,,"Nils Ole Tippenhauer, Martin Ochoa",,
Security,ISTD,CBL3,CI1,,1.5,,,"Nils Ole Tippenhauer, Martin Ochoa",,
Security,ISTD,CBL4,CI2,,1.5,,,"Nils Ole Tippenhauer, Martin Ochoa",,
Security,ISTD,CBL5,CI1,,2,,,"Nils Ole Tippenhauer, Martin Ochoa",,
Security,ISTD,CBL6,CI2,,2,,,"Nils Ole Tippenhauer, Martin Ochoa",,
Introduction to Information Systems & Programming,ISTD,CBL1,CI1,,1.5,,,Norman Lee,,
Introduction to Information Systems & Programming,ISTD,CBL2,CI2,,1.5,,,Norman Lee,,
Introduction to Information Systems & Programming,ISTD,CBL3,CI3,,1.5,,,Norman Lee,,
Introduction to Information Systems & Programming,ISTD,CBL4,CI1,,1.5,,,Norman Lee,,
Introduction to Information Systems & Programming,ISTD,CBL5,CI2,,1.5,,,Norman Lee,,
Introduction to Information Systems & Programming,ISTD,CBL6,CI3,,1.5,,,Norman Lee,,
Introduction to Information Systems & Programming,ISTD,CBL7,CI1,,2,,,Norman Lee,,
Introduction to Information Systems & Programming,ISTD,CBL8,CI2,,2,,,Norman Lee,,
Introduction to Information Systems & Programming,ISTD,CBL9,CI3,,2,,,Norman Lee,,
Introduction to Algorithms,ISTD,CBL1,CI1,,1.5,,,Gemma Roig,,
Introduction to Algorithms,ISTD,CBL2,CI2,,1.5,,,Gemma Roig,,
Introduction to Algorithms,ISTD,CBL3,CI3,,1.5,,,Gemma Roig,,
Introduction to Algorithms,ISTD,CBL4,CI1,,1.5,,,Gemma Roig,,
Introduction to Algorithms,ISTD,CBL5,CI2,,1.5,,,Gemma Roig,,
Introduction to Algorithms,ISTD,CBL6,CI3,,1.5,,,Gemma Roig,,
Introduction to Algorithms,ISTD,CBL7,CI1,,2,,,Gemma Roig,,
Introduction to Algorithms,ISTD,CBL8,CI2,,2,,,Gemma Roig,,
Introduction to Algorithms,ISTD,CBL9,CI3,,2,,,Gemma Roig,,
Computation Structures,ISTD,CBL1,CI1,,1.5,,,Oka,,
Computation Structures,ISTD,CBL2,CI2,,1.5,,,Oka,,
Computation Structures,ISTD,CBL3,CI3,,1.5,,,Oka,,
Computation Structures,ISTD,CBL4,CI1,,1.5,,,Oka,,
Computation Structures,ISTD,CBL5,CI2,,1.5,,,Oka,,
Computation Structures,ISTD,CBL6,CI3,,1.5,,,Oka,,
Computation Structures,ISTD,LAB1,"CI1,CI2,CI3",,2,,,Oka,,
Computational Fabrication,ISTD,CBL1,CI1,,1.5,,,"Nils Ole Tippenhauer, Martin Ochoa",,
Computational Fabrication,ISTD,CBL2,CI1,,1.5,,,"Nils Ole Tippenhauer, Martin Ochoa",,
Computational Fabrication,ISTD,CBL3,CI1,,2,,,"Nils Ole Tippenhauer, Martin Ochoa",,
